			Ident(voi)	Ident(voi)/LexCat	Ident(voi)/_V	Ident(voi)/_C	Ident(voi)/_#	*D#	*D	*VoiObst (CM OLD)	*VoiObst (CM NEW)	*DD#	Agree	Agree _#	*C:	Dep(ə)	Max(C)	Max(C)/Root	Max(C)/_V	Max(C)/V_	Max(C)/_#	Uniformity	*CᵢəCᵢ	*CiCi	*sts/_¬V	*lS#/nS#	Dep(stop)	BD-Max(C)	*rm#	Align-Rt-R	*RK#	BD-Max(V)	BI-Max(V)	Dep(k)/_[-strid]	Dep(t)/_[+strid]	Dep(p)
			Ident(voi)	Id(voi)/LexCat	Id(voi)/_V	Id(voi)/_C	Ident(voi)/_#	*D#	*D	ₒ*D	ₙ*D	*DD#	Agree	Agree _#	*C:	Dep(ə)	Max(C)	Max(C)/Root	Max(C)/_V	Max(C)/V_	Max(C)/_#	Uniformity	*CᵢəCᵢ	*CiCi	*sts¬V	*lS/nS	Dep(stop)	BD-Max(C)	*rm#	Align-Rt-R	*RK#	BD-Max(V)	BI-Max(V)	Dep(k)/_[-strid]	Dep(t)/_[+strid]	Dep(p)
tak	tak	1																																		
	tag		1	1			1	1	1		1																									
	dak		1	1	1				1		1																									
	dag		2	2	1		1	1	2		2																									
	ta																1	1		1																
	takə															1																				
dak	dak	1							1	1																										
	tak		1	1	1																															
	dag		1	1			1	1	2	1	1																									
	tag		2	2	1		1	1	1		1																									
	da																1	1		1																
	dakə								1	1						1																				
tag	tag	1						1	1	1																										
	tak		1	1			1																													
	dag		1	1	1			1	2	1	1																									
	dak		2	2	1		1		1		1																									
	ta																1	1		1																
	tagə								1	1						1																				
dag	dag	1						1	2	2																										
	dak		1	1			1		1	1																										
	tag		1	1	1			1	1	1																										
	tak		2	2	1		1																													
	da								1	1							1	1		1																
	dagə								2	2						1																				
-ik (adj)	-ik	1																																		
	-ig		1				1	1	1		1																									
-dik (adj)	-dik	1							1	1																										
	-tik		1		1																															
-ig (adj, hypothetical)	-ik		1				1																													
	-ig							1	1	1																										
...Vk-t	...Vkt	1																																		
	...Vgd		2	1		1	1	1	2		2	1																								
	...Vk																1				1															
	...Vkət															1																				
...Vg-t	...Vgt								1	1			1	1																						
	...Vgd		1				1	1	2	1	1	1																								
	...Vkt	1	1	1		1																														
	...Vg																1				1															
	...Vgət															1																				
tagd	tagd							1	2	2		1																								
	tagt		1	1			1		1	1			1	1																						
	takd		1	1		1		1	1	1			1	1																						
	takt		2	2		1	1																													
